1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
0	-0.103928	627.201626	0.004027	705.1
1	-0.805364	623.504937	0.030612	3.3
2	-0.000000	619.865785	0.000000	3.4
3	-0.622647	616.282728	0.017113	3.8
4	0.000000	612.754375	0.000000	3.9
5	-0.004191	609.279381	0.000810	3.4
6	-0.933255	605.856447	0.011434	3.4
7	-0.826852	602.484317	0.024178	4.1
8	-0.274951	599.161779	0.002047	4.0
9	0.000000	595.887656	0.000000	3.5
10	-0.412007	592.660813	0.011711	3.7
11	-0.001201	589.480151	0.000394	3.4
12	-0.837248	586.344606	0.017053	3.8
13	-0.682957	583.253145	0.013825	3.6
14	-0.606001	580.204771	0.007688	3.8
15	-0.000000	577.198517	0.000000	4.1
16	-0.943242	574.233444	0.039360	3.9
17	-0.730185	571.308645	0.022760	3.7
18	-0.000011	568.423237	0.000005	7.7
19	-0.647383	565.576365	0.028481	4.8
20	-0.036308	562.767201	0.002316	4.3
21	-0.003972	559.994938	0.000494	3.4
22	-0.787092	557.258797	0.030680	3.3
23	-1.059582	554.558018	0.013945	3.2
24	-0.700913	551.891865	0.009850	3.7
25	-0.824599	549.259621	0.012751	3.2
26	-0.632903	546.660592	0.009390	3.1
27	-0.867971	544.094102	0.005499	3.1
28	-0.038805	541.559494	0.001645	3.4
29	-0.000775	539.056129	0.000150	3.8
30	-1.213059	536.583387	0.012853	3.3
31	-0.543270	534.140663	0.015567	3.3
32	-0.286170	531.727370	0.004510	3.3
33	-1.028281	529.342935	0.023013	4.5
34	-1.231198	526.986802	0.018918	4.3
35	-1.074886	524.658430	0.018083	3.6
36	-0.608650	522.357290	0.018575	3.8
37	-0.701557	520.082868	0.022915	4.0
38	-0.784152	517.834665	0.014314	3.5
39	-0.000000	515.612193	0.000000	3.3
40	-0.873559	513.414976	0.027464	4.1
41	-0.768143	511.242551	0.012030	3.9
42	-1.041898	509.094468	0.033237	3.8
43	-0.803998	506.970285	0.051804	3.7
44	-0.060639	504.869574	0.006734	3.7
45	-0.935461	502.791916	0.011158	4.0
46	-0.075231	500.736903	0.001526	3.7
47	-0.936508	498.704137	0.013509	3.5
48	-0.538531	496.693228	0.010389	4.0
49	-0.654905	494.703798	0.004274	4.3
50	-0.000000	492.735476	0.000000	3.9
51	-0.759921	490.787900	0.008858	4.5
52	-0.634057	488.860718	0.027617	3.6
53	-1.197603	486.953585	0.013697	3.8
54	-0.440321	485.066164	0.012266	3.8
55	-0.473032	483.198126	0.010940	4.1
56	-0.778766	481.349149	0.043384	3.7
57	-0.615977	479.518920	0.009062	4.0
58	-0.356571	477.707132	0.009404	3.7
59	-0.843431	475.913485	0.008034	3.8
60	-0.000073	474.137684	0.000034	3.7
61	-1.169867	472.379445	0.015309	3.9
62	-0.000000	470.638485	0.000000	4.4
63	-0.855531	468.914531	0.022790	3.7
64	-0.824167	467.207315	0.022917	3.7
65	-0.534352	465.516573	0.008752	4.1
66	0.000000	463.842050	0.000000	3.7
67	-0.563480	462.183494	0.008205	3.9
68	-1.022680	460.540658	0.030001	3.8
69	-0.000028	458.913303	0.000009	4.6
70	-0.916677	457.301192	0.061012	3.8
71	-0.595727	455.704096	0.022232	3.7
72	-0.801939	454.121787	0.012601	3.8
73	-0.000250	452.554045	0.000094	5.0
74	-0.000000	451.000653	0.000000	4.2
75	-0.829479	449.461399	0.020945	4.1
76	0.000000	447.936075	0.000000	4.9
77	-0.423596	446.424477	0.006800	4.1
78	-0.000000	444.926406	0.000000	3.9
79	-0.296168	443.441666	0.005236	3.9
80	-0.899520	441.970065	0.015360	4.5
81	-0.284560	440.511415	0.008310	3.8
82	-0.878997	439.065533	0.007770	4.0
83	-0.000000	437.632238	0.000000	4.1
84	-0.757672	436.211351	0.006401	4.5
85	-0.302597	434.802701	0.003610	4.1
86	-0.348866	433.406117	0.005979	3.9
87	-0.507782	432.021430	0.005886	4.7
88	-0.634410	430.648479	0.008983	4.2
89	0.000000	429.287101	0.000000	4.0
90	-0.500909	427.937140	0.009608	4.0
91	-1.056203	426.598440	0.009952	4.3
92	-0.859068	425.270849	0.011941	4.1
93	-1.147466	423.954220	0.014807	4.0
94	-0.710184	422.648404	0.012277	4.3
95	-0.832913	421.353259	0.021061	4.4
96	-0.523377	420.068643	0.011505	4.2
97	-0.612484	418.794419	0.006849	4.3
98	-0.101290	417.530451	0.001092	4.2
99	0.000000	416.276604	0.000000	4.1
100	-0.933438	415.032748	0.024711	4.0
101	-0.922971	413.798754	0.010195	4.5
102	-0.580670	412.574495	0.004630	4.3
103	-1.114261	411.359849	0.008465	4.0
104	-0.809032	410.154691	0.008874	4.3
105	-1.057813	408.958904	0.017170	3.9
106	-0.570531	407.772368	0.016240	4.3
107	-0.888450	406.594968	0.066097	4.1
108	-0.370246	405.426590	0.013625	4.2
109	-0.984910	404.267122	0.014585	4.0
110	-0.000000	403.116456	0.000000	4.4
111	-0.000000	401.974481	0.000000	4.4
112	-0.449700	400.841093	0.005834	4.0
113	-0.747030	399.716187	0.008966	4.4
114	-1.003799	398.599660	0.032416	4.5
