1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
0	-0.762339	627.201626	0.017581	729.3
1	-1.073175	623.504937	0.015276	3.6
2	-1.178305	619.865785	0.030552	4.1
3	-0.703673	616.282728	0.051561	4.2
4	-0.000000	612.754375	0.000000	3.5
5	-0.356482	609.279381	0.007682	3.4
6	-0.670520	605.856447	0.020797	4.3
7	-0.000000	602.484317	0.000000	4.2
8	-0.000000	599.161779	0.000000	3.7
9	-0.641700	595.887656	0.022553	3.6
10	-0.000000	592.660813	0.000000	4.8
11	-0.550424	589.480151	0.008140	3.7
12	-0.855328	586.344606	0.012843	3.6
13	-0.236457	583.253145	0.002547	3.9
14	-0.000000	580.204771	0.000000	4.5
15	-0.677185	577.198517	0.015662	3.9
16	-0.842451	574.233444	0.028261	3.8
17	-0.885445	571.308645	0.025559	3.7
18	-0.973617	568.423237	0.019166	5.5
19	-0.319050	565.576365	0.015748	3.9
20	-0.000000	562.767201	0.000000	3.8
21	-0.754192	559.994938	0.011700	4.9
22	-0.606601	557.258797	0.012263	4.0
23	-0.041675	554.558018	0.000619	3.8
24	-1.030120	551.891865	0.020517	4.9
25	-0.918253	549.259621	0.015398	4.4
26	-0.590719	546.660592	0.020185	3.9
27	-0.666919	544.094102	0.012011	4.5
28	-0.565694	541.559494	0.008924	4.2
29	-0.388014	539.056129	0.010508	4.3
30	-0.000000	536.583387	0.000000	4.2
31	-0.662884	534.140663	0.021860	4.0
32	-0.000000	531.727370	0.000000	4.6
33	-0.126135	529.342935	0.002255	4.1
34	-0.990026	526.986802	0.017062	4.8
35	-0.218835	524.658430	0.003842	4.8
36	-0.201348	522.357290	0.004137	4.5
37	-0.000000	520.082868	0.000000	4.0
38	-0.011319	517.834665	0.000437	4.0
39	-0.847907	515.612193	0.026150	4.5
40	-0.754122	513.414976	0.014133	4.4
41	-0.338717	511.242551	0.004160	4.0
42	-0.997067	509.094468	0.022237	4.1
43	-0.871230	506.970285	0.032804	5.0
44	-0.000000	504.869574	0.000000	4.8
45	-0.433637	502.791916	0.015663	5.1
46	-0.283855	500.736903	0.003673	5.8
47	-0.978376	498.704137	0.033321	4.6
48	-0.145632	496.693228	0.004588	4.1
49	-0.000000	494.703798	0.000000	4.8
50	-0.000000	492.735476	0.000000	4.6
51	-0.000000	490.787900	0.000000	4.5
52	-0.458238	488.860718	0.023513	5.4
53	-0.310896	486.953585	0.011060	4.7
54	-0.920627	485.066164	0.020021	4.8
55	-0.216358	483.198126	0.002785	4.9
56	-0.903252	481.349149	0.009250	4.2
57	-0.352560	479.518920	0.012723	4.0
58	-0.815322	477.707132	0.020059	4.6
59	-0.504040	475.913485	0.006842	4.6
60	-0.955884	474.137684	0.022454	4.5
61	-0.515649	472.379445	0.017048	4.6
62	-0.000000	470.638485	0.000000	4.8
63	-0.252567	468.914531	0.008341	4.5
64	-0.706874	467.207315	0.009527	4.2
65	-1.043051	465.516573	0.036501	5.3
66	-0.000000	463.842050	0.000000	4.7
67	-0.887925	462.183494	0.010017	5.1
68	-0.666477	460.540658	0.023517	4.4
69	-0.683899	458.913303	0.015225	4.9
70	-0.485241	457.301192	0.010292	4.8
71	-0.285898	455.704096	0.005613	4.2
72	-0.000000	454.121787	0.000000	4.9
73	-0.958751	452.554045	0.030762	4.7
74	-0.649070	451.000653	0.007250	4.3
75	-0.768375	449.461399	0.013654	4.5
76	-0.000000	447.936075	0.000000	5.4
77	-0.660071	446.424477	0.017641	4.3
78	-0.008219	444.926406	0.001294	4.3
79	-0.733006	443.441666	0.009016	5.0
80	-0.854462	441.970065	0.009644	4.4
81	-0.630965	440.511415	0.017022	4.2
82	-0.626501	439.065533	0.033519	5.1
83	-0.656247	437.632238	0.011097	4.4
84	-0.506262	436.211351	0.006833	4.3
85	-0.000000	434.802701	0.000000	4.6
86	-0.737269	433.406117	0.012593	5.6
87	-0.093435	432.021430	0.000913	4.8
88	-0.000067	430.648479	0.000059	4.3
89	-0.000000	429.287101	0.000000	4.7
90	-0.878387	427.937140	0.029059	4.5
91	-0.179581	426.598440	0.000890	4.2
92	-0.499649	425.270849	0.027397	5.2
93	-0.090036	423.954220	0.002288	4.3
94	-0.659761	422.648404	0.006939	4.2
95	-0.069369	421.353259	0.001846	5.3
96	-0.053373	420.068643	0.002209	4.7
97	-0.029511	418.794419	0.000782	4.4
98	-0.000000	417.530451	0.000000	4.7
99	-0.783432	416.276604	0.009774	4.6
100	-0.888083	415.032748	0.014490	4.5
101	-0.904374	413.798754	0.019214	5.5
102	-0.000000	412.574495	0.000000	5.0
103	-0.659350	411.359849	0.009379	4.5
104	-1.072818	410.154691	0.009290	5.3
105	-0.596088	408.958904	0.013335	5.1
106	-0.559071	407.772368	0.007629	5.6
107	-0.813448	406.594968	0.008489	4.9
108	-0.936956	405.426590	0.014372	5.3
109	-0.000008	404.267122	0.000000	5.0
110	-0.535218	403.116456	0.007298	4.5
111	-1.081161	401.974481	0.014636	5.1
112	-0.000000	400.841093	0.000000	5.4
113	-0.939217	399.716187	0.020654	4.7
114	-0.070063	398.599660	0.002260	5.0
115	-0.000000	397.491411	0.000000	4.9
116	-0.000000	396.391342	0.000000	4.4
117	-0.252583	395.299353	0.002088	5.2
118	-0.760863	394.215350	0.017528	5.6
119	-0.134903	393.139238	0.003135	4.7
120	-0.825370	392.070924	0.018127	5.0
121	-0.767634	391.010316	0.006465	5.3
122	-0.000212	389.957325	0.000064	5.6
123	-0.940493	388.911862	0.030034	5.0
124	-0.588503	387.873839	0.006927	5.3
125	-0.918190	386.843173	0.006685	4.5
126	-0.000001	385.819777	0.000001	4.8
127	-0.885959	384.803569	0.022253	4.9
128	-0.786363	383.794468	0.018381	4.9
129	-0.773738	382.792393	0.008015	4.7
130	-1.043971	381.797264	0.028083	5.3
131	-0.241889	380.809005	0.005385	4.4
132	-0.877256	379.827537	0.018210	4.5
133	-0.011234	378.852786	0.000659	5.4
134	-1.051856	377.884678	0.044830	4.7
135	-0.562385	376.923138	0.009566	4.8
136	-0.846245	375.968095	0.009640	5.5
137	-0.589815	375.019479	0.008652	4.4
138	-0.755697	374.077218	0.017729	4.4
139	-0.681216	373.141244	0.026322	5.6
140	-0.097513	372.211489	0.003526	4.6
141	-0.921937	371.287887	0.020634	4.3
142	-0.560018	370.370370	0.017772	6.0
143	-0.353171	369.458876	0.003491	4.6
144	-0.000000	368.553338	0.000000	4.4
145	-0.996414	367.653696	0.023700	4.9
146	-0.943605	366.759885	0.013775	5.0
147	-0.587451	365.871846	0.013020	4.4
148	-0.000709	364.989518	0.000027	4.8
149	-0.336206	364.112841	0.023515	5.1
150	-0.000000	363.241757	0.000000	4.4
151	-0.422108	362.376208	0.011524	4.8
152	-0.018667	361.516137	0.002009	4.9
153	-0.558200	360.661488	0.009033	4.8
154	-0.624996	359.812206	0.011420	4.8
155	-0.106938	358.968236	0.000905	4.4
156	-0.489084	358.129524	0.011177	4.9
157	-0.469722	357.296018	0.010289	4.8
158	-0.000000	356.467665	0.000000	4.4
159	-0.744333	355.644414	0.006519	5.0
160	-0.921130	354.826213	0.010130	5.0
161	-1.079748	354.013012	0.030629	4.5
162	-0.000000	353.204763	0.000000	5.0
163	-0.683987	352.401415	0.007000	5.1
164	-0.000000	351.602922	0.000000	4.8
165	-0.000000	350.809235	0.000000	4.9
166	-0.453316	350.020308	0.010248	4.6
167	-0.946613	349.236095	0.007654	4.6
168	-0.700971	348.456550	0.014308	4.2
169	-0.000000	347.681627	0.000000	4.7
170	-0.740483	346.911283	0.021064	4.6
171	-0.777018	346.145474	0.010727	4.3
172	-0.322247	345.384157	0.004514	4.8
173	-1.066850	344.627288	0.034035	4.9
174	-1.004539	343.874826	0.017288	4.2
175	-0.004188	343.126729	0.000079	4.3
176	-0.915424	342.382957	0.013536	4.9
177	-0.000000	341.643469	0.000000	4.2
178	-0.164334	340.908224	0.003939	4.2
179	-0.547869	340.177184	0.008680	5.2
180	-0.689185	339.450309	0.016525	4.3
181	-0.000000	338.727561	0.000000	4.2
182	-0.076108	338.008902	0.001980	5.3
183	-0.884232	337.294295	0.011907	4.6
184	-0.541769	336.583703	0.006500	4.2
185	-0.878290	335.877089	0.021439	4.2
186	-0.273148	335.174416	0.004618	4.8
187	-1.057874	334.475651	0.015994	4.5
188	-0.753061	333.780756	0.007477	4.9
189	-0.000092	333.089698	0.000036	5.6
190	-0.000000	332.402443	0.000000	4.8
191	-0.783784	331.718955	0.021238	5.0
192	-0.661666	331.039203	0.007211	5.3
193	-0.769326	330.363153	0.007864	4.7
194	-0.364813	329.690771	0.003133	4.8
195	-0.000000	329.022027	0.000000	5.2
196	-1.030844	328.356888	0.038323	4.5
197	-0.000000	327.695322	0.000000	4.8
198	-0.571893	327.037299	0.008998	4.5
199	-0.000000	326.382787	0.000000	4.8
200	-0.306610	325.731758	0.008434	4.8
201	-0.000000	325.084179	0.000000	4.3
202	-1.014335	324.440023	0.037458	5.0
203	-0.857423	323.799258	0.029857	5.0
204	-0.955785	323.161858	0.020021	4.6
205	-0.000649	322.527792	0.000036	4.9
206	-0.530110	321.897034	0.008835	4.9
207	-0.019598	321.269554	0.001018	4.5
208	-0.421676	320.645325	0.003001	4.8
209	-0.060295	320.024320	0.001879	5.1
210	-0.388619	319.406512	0.006779	4.4
211	-0.778270	318.791875	0.009962	4.4
212	-0.919504	318.180381	0.018039	5.1
213	-0.000000	317.572005	0.000000	4.4
214	-0.643677	316.966721	0.008472	4.3
215	-0.000000	316.364504	0.000000	5.1
216	-0.000000	315.765329	0.000000	4.5
217	-0.000000	315.169170	0.000000	4.4
218	-1.084206	314.576003	0.020400	5.0
219	-1.117655	313.985804	0.021480	4.5
220	-0.910227	313.398548	0.014390	4.7
221	-0.000000	312.814213	0.000000	5.5
222	-0.599547	312.232773	0.006122	4.7
223	-0.962794	311.654207	0.011572	4.3
224	-0.543909	311.078491	0.011629	4.7
225	-0.000000	310.505602	0.000000	4.7
226	-0.000000	309.935518	0.000000	4.5
227	-0.852812	309.368217	0.007164	4.3
228	-0.935995	308.803676	0.018738	5.3
229	-0.000000	308.241874	0.000000	4.6
230	-0.497850	307.682789	0.008094	4.3
231	-0.143271	307.126400	0.005331	5.3
232	-0.000000	306.572687	0.000000	4.8
233	-0.000000	306.021627	0.000000	5.1
234	-0.385761	305.473201	0.013962	5.6
235	-0.610663	304.927388	0.009711	4.5
236	-0.524322	304.384168	0.008063	4.3
237	-0.000000	303.843521	0.000000	4.7
238	-0.717676	303.305427	0.014568	4.6
239	-0.866764	302.769867	0.008712	4.3
240	-0.840272	302.236821	0.018927	4.9
241	-0.000000	301.706270	0.000000	5.1
242	-1.010995	301.178196	0.006713	5.1
243	-0.000000	300.652580	0.000000	5.1
244	-0.614996	300.129402	0.012228	4.9
245	-0.859291	299.608645	0.010656	4.4
246	-0.141780	299.090291	0.002017	4.9
247	-0.709034	298.574321	0.012702	5.0
248	-0.902959	298.060718	0.011974	4.6
249	-1.008136	297.549465	0.031348	5.2
250	-0.678037	297.040543	0.008579	5.7
251	-0.665504	296.533936	0.016484	4.7
252	-0.000000	296.029626	0.000000	4.8
253	-0.684038	295.527597	0.005589	4.4
254	-0.505195	295.027832	0.007875	4.9
255	-0.053339	294.530315	0.002661	4.9
256	-0.316511	294.035028	0.007724	4.4
257	-0.860395	293.541956	0.011071	5.2
258	-0.000000	293.051083	0.000000	4.8
259	-0.480574	292.562393	0.006396	4.5
260	-0.000000	292.075870	0.000000	5.0
261	-0.996131	291.591498	0.014605	6.0
262	-0.000000	291.109263	0.000000	4.8
263	-1.076985	290.629149	0.021082	5.5
264	-0.000145	290.151140	0.000097	5.1
265	-0.600740	289.675222	0.009404	5.0
266	-0.106878	289.201380	0.005091	5.1
267	-0.000000	288.729600	0.000000	5.9
268	-0.000000	288.259866	0.000000	4.5
269	-0.876051	287.792165	0.011134	5.5
270	-0.000000	287.326481	0.000000	5.2
271	-0.870642	286.862802	0.009318	4.9
272	-0.001940	286.401113	0.000296	5.7
273	-0.136721	285.941400	0.003543	4.6
274	-0.000000	285.483649	0.000000	5.3
275	-0.677552	285.027847	0.018782	5.8
276	-0.763109	284.573981	0.010500	4.5
277	-0.601507	284.122037	0.007711	5.1
278	-0.954379	283.672002	0.009113	6.3
279	-0.296718	283.223863	0.004024	5.0
280	-0.900427	282.777607	0.017703	5.3
281	-0.000000	282.333221	0.000000	5.0
282	-0.766284	281.890692	0.007431	4.4
283	-0.633080	281.450008	0.006839	4.4
284	-0.940265	281.011157	0.010224	5.0
285	-0.965279	280.574125	0.022292	4.4
286	-0.790421	280.138901	0.006029	4.9
287	-0.236837	279.705473	0.006715	4.9
288	-0.471220	279.273829	0.006792	4.6
289	-0.000000	278.843956	0.000000	4.9
290	-0.804494	278.415844	0.012039	4.5
291	-0.185710	277.989479	0.002603	4.9
292	-0.228399	277.564851	0.004036	4.7
293	-0.255681	277.141949	0.002178	4.5
294	-1.098178	276.720761	0.030958	4.9
295	-0.876971	276.301275	0.024563	4.5
296	-1.241044	275.883480	0.015159	4.5
297	-0.031783	275.467366	0.000912	5.1
298	-0.000000	275.052922	0.000000	4.6
299	-0.269999	274.640136	0.002563	4.8
300	-0.871671	274.228998	0.024892	5.5
301	-0.430331	273.819497	0.012332	4.6
302	-0.000000	273.411623	0.000000	5.2
303	-0.569996	273.005365	0.012099	4.4
304	-0.525345	272.600712	0.008714	4.9
305	-0.000000	272.197655	0.000000	5.1
306	-0.008607	271.796184	0.000759	4.2
307	-0.367680	271.396287	0.007011	5.0
308	-0.518336	270.997956	0.007225	4.3
309	-0.679491	270.601180	0.035001	4.2
310	-0.000034	270.205949	0.000020	4.9
311	-0.675164	269.812254	0.011566	5.0
312	-0.812530	269.420085	0.005944	4.2
313	-0.998371	269.029432	0.008376	4.3
314	-0.454009	268.640287	0.006067	5.2
315	-0.883435	268.252638	0.014342	4.6
316	-0.000000	267.866478	0.000000	4.8
317	-0.173686	267.481796	0.003288	5.2
318	-0.000198	267.098584	0.000004	4.2
319	-0.000000	266.716833	0.000000	4.2
320	-0.583600	266.336533	0.006828	5.3
321	-0.794789	265.957676	0.013126	4.5
322	-0.000000	265.580253	0.000000	4.5
323	-0.761469	265.204254	0.009038	5.2
324	-0.264813	264.829672	0.005851	4.8
325	-1.044547	264.456497	0.012033	4.4
326	-0.371655	264.084721	0.002695	5.3
327	-0.235472	263.714335	0.002444	5.0
328	-0.735262	263.345332	0.008494	4.7
329	-0.576505	262.977702	0.009127	4.8
330	-0.557009	262.611438	0.005693	5.0
331	-0.576934	262.246531	0.006811	4.6
332	-0.647008	261.882973	0.007772	4.9
333	-1.095243	261.520756	0.010139	5.0
334	-0.785859	261.159871	0.007885	4.6
335	-0.738043	260.800312	0.029665	5.0
336	-0.000000	260.442070	0.000000	4.7
337	-0.404856	260.085137	0.007722	4.6
338	-1.053613	259.729505	0.026170	4.9
339	-0.000000	259.375167	0.000000	4.4
340	-0.292507	259.022116	0.005462	4.9
341	-0.793610	258.670343	0.006499	4.3
342	-0.028178	258.319841	0.001642	4.5
343	-0.676872	257.970602	0.024959	5.1
344	-1.055903	257.622620	0.028843	4.5
345	-0.026258	257.275887	0.001909	4.4
346	-1.111144	256.930396	0.031496	5.0
347	-0.318807	256.586139	0.007375	4.7
348	-0.981598	256.243109	0.014434	4.9
349	-0.280788	255.901300	0.006309	4.4
350	-0.658513	255.560703	0.017811	4.8
351	-0.594365	255.221313	0.006122	6.0
352	-0.608184	254.883122	0.007732	4.4
353	-0.635463	254.546124	0.006954	5.0
354	-0.642847	254.210311	0.012811	4.9
355	-0.626710	253.875677	0.006449	4.4
356	-0.109842	253.542215	0.001395	4.8
357	-0.851772	253.209918	0.015013	4.7
358	-0.000562	252.878781	0.000186	4.2
359	-0.736978	252.548795	0.015383	4.4
360	-0.416941	252.219956	0.006637	5.4
361	-0.713143	251.892255	0.014238	4.6
362	-0.644806	251.565688	0.006922	4.2
363	-0.000000	251.240247	0.000000	5.3
364	-0.060926	250.915926	0.001631	4.3
365	-0.000074	250.592720	0.000005	4.2
366	-0.937947	250.270621	0.011767	4.9
367	-0.570696	249.949624	0.004952	4.5
368	-0.733554	249.629723	0.010125	4.2
369	-0.000029	249.310911	0.000015	4.8
370	-0.000000	248.993182	0.000000	4.1
371	-1.146038	248.676531	0.024848	4.3
372	-0.919818	248.360952	0.009951	4.7
373	-0.000000	248.046438	0.000000	5.1
374	-0.000000	247.732984	0.000000	4.1
375	-1.000628	247.420584	0.025312	4.2
376	-0.628465	247.109233	0.006440	4.9
377	-0.025478	246.798924	0.001126	4.5
378	-0.000000	246.489652	0.000000	5.1
379	-0.000000	246.181412	0.000000	4.6
380	-0.000000	245.874197	0.000000	4.5
381	-0.205491	245.568002	0.005233	4.5
382	-0.000208	245.262822	0.000067	4.3
383	-0.688487	244.958652	0.007292	4.8
384	-0.239743	244.655485	0.007614	4.3
385	-0.212183	244.353317	0.005214	6.3
386	-0.009753	244.052142	0.000125	5.4
387	-0.205374	243.751955	0.002561	5.3
388	-0.542882	243.452750	0.006990	4.6
389	-0.478498	243.154523	0.004940	5.3
390	-1.003756	242.857268	0.021182	4.9
391	-1.118303	242.560980	0.029788	4.5
392	-0.503889	242.265654	0.003698	4.9
