1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
0	-0.694798	627.201626	0.028395	858.5
1	-1.011980	623.504937	0.017843	3.8
2	-1.084207	619.865785	0.040572	4.2
3	-0.405433	616.282728	0.026563	4.4
4	-0.000000	612.754375	0.000000	4.5
5	-0.409837	609.279381	0.013244	4.7
6	-0.658277	605.856447	0.012354	4.2
7	-0.000000	602.484317	0.000000	4.4
8	-0.000000	599.161779	0.000000	4.7
9	-0.580429	595.887656	0.022254	4.0
10	-0.000000	592.660813	0.000000	3.8
11	-0.512921	589.480151	0.014693	5.0
12	-0.593089	586.344606	0.012991	4.7
13	-0.252824	583.253145	0.002939	4.5
14	-0.000000	580.204771	0.000000	5.7
15	-0.750803	577.198517	0.011304	4.6
16	-0.682951	574.233444	0.018863	3.9
17	-0.901931	571.308645	0.027082	5.0
18	-0.899284	568.423237	0.024629	5.3
19	-0.380704	565.576365	0.011430	4.1
20	-0.000000	562.767201	0.000000	5.0
21	-0.875738	559.994938	0.012001	4.6
22	-0.505808	557.258797	0.011742	4.8
23	-0.040531	554.558018	0.000653	4.8
24	-1.033662	551.891865	0.008965	5.1
25	-0.864391	549.259621	0.019317	4.8
26	-0.629006	546.660592	0.033213	4.2
27	-0.710084	544.094102	0.007361	5.1
28	-0.525815	541.559494	0.004813	4.9
29	-0.364104	539.056129	0.010589	4.4
30	-0.000000	536.583387	0.000000	5.1
31	-0.776447	534.140663	0.012166	4.6
32	-0.000000	531.727370	0.000000	4.2
33	-0.087025	529.342935	0.003402	5.0
34	-0.936733	526.986802	0.012462	4.9
35	-0.231435	524.658430	0.007136	5.6
36	-0.216889	522.357290	0.001395	5.5
37	-0.000000	520.082868	0.000000	4.7
38	-0.010043	517.834665	0.000511	4.5
39	-0.829343	515.612193	0.022664	4.5
40	-0.669767	513.414976	0.017906	5.4
41	-0.294308	511.242551	0.011609	4.7
42	-0.992282	509.094468	0.021804	4.7
43	-0.868081	506.970285	0.030107	5.4
44	-0.000000	504.869574	0.000000	4.3
45	-0.417954	502.791916	0.013359	5.1
46	-0.263715	500.736903	0.005272	5.3
47	-0.894566	498.704137	0.028681	4.5
48	-0.131266	496.693228	0.005058	4.4
49	-0.000000	494.703798	0.000000	5.2
50	-0.000000	492.735476	0.000000	5.2
51	-0.000000	490.787900	0.000000	4.6
52	-0.493748	488.860718	0.029509	5.6
53	-0.261784	486.953585	0.007453	4.7
54	-0.870570	485.066164	0.012567	4.9
55	-0.231669	483.198126	0.004478	4.8
56	-0.989193	481.349149	0.009374	4.6
57	-0.314929	479.518920	0.006926	4.3
58	-0.914127	477.707132	0.033457	5.5
59	-0.450136	475.913485	0.008953	5.5
60	-0.975552	474.137684	0.026229	5.4
61	-0.538503	472.379445	0.016209	4.5
62	-0.000000	470.638485	0.000000	5.6
63	-0.263647	468.914531	0.008322	5.2
64	-0.640981	467.207315	0.007657	4.8
65	-0.739655	465.516573	0.025000	5.0
66	-0.000000	463.842050	0.000000	5.4
67	-0.897374	462.183494	0.007089	4.7
68	-0.570110	460.540658	0.015947	5.8
69	-0.611430	458.913303	0.013104	4.9
70	-0.528050	457.301192	0.005640	5.2
71	-0.292259	455.704096	0.005548	5.3
72	-0.000000	454.121787	0.000000	5.5
73	-1.021261	452.554045	0.014986	4.8
74	-0.650781	451.000653	0.012369	5.7
75	-0.716490	449.461399	0.014385	5.3
76	-0.000000	447.936075	0.000000	5.1
77	-0.751620	446.424477	0.022607	5.5
78	-0.005216	444.926406	0.000869	5.2
79	-0.600183	443.441666	0.008725	4.8
80	-0.816327	441.970065	0.010391	5.6
81	-0.546955	440.511415	0.014284	4.7
82	-0.676049	439.065533	0.032440	4.8
83	-0.518600	437.632238	0.010988	5.2
84	-0.534049	436.211351	0.008346	4.9
85	-0.000000	434.802701	0.000000	4.7
86	-0.855580	433.406117	0.011446	5.8
87	-0.093032	432.021430	0.002035	4.4
88	-0.000002	430.648479	0.000002	5.2
89	-0.000000	429.287101	0.000000	5.5
90	-0.940319	427.937140	0.016881	4.9
91	-0.149472	426.598440	0.003405	4.6
92	-0.635143	425.270849	0.026209	5.1
93	-0.099363	423.954220	0.002527	4.5
94	-0.557454	422.648404	0.012332	5.0
95	-0.060505	421.353259	0.001997	5.6
96	-0.045158	420.068643	0.003501	4.5
97	-0.024682	418.794419	0.001611	5.2
98	-0.000000	417.530451	0.000000	5.6
99	-0.534365	416.276604	0.009532	4.6
100	-0.888143	415.032748	0.010257	5.4
