1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
0	-0.062950	627.201626	0.002184	806.3
1	-1.247411	623.504937	0.010330	3.9
2	-0.000023	619.865785	0.000005	3.9
3	-0.944212	616.282728	0.006097	4.4
4	-1.177832	612.754375	0.020878	4.0
5	-1.610666	609.279381	0.011521	4.1
6	-0.735241	605.856447	0.013113	4.2
7	-0.025346	602.484317	0.001171	4.6
8	-1.434955	599.161779	0.007437	4.3
9	-0.124095	595.887656	0.001398	4.1
10	-1.359962	592.660813	0.013941	4.2
11	-1.047139	589.480151	0.009735	4.3
12	-1.459186	586.344606	0.011237	4.1
13	-1.309929	583.253145	0.023911	4.0
14	-0.603837	580.204771	0.003213	4.7
15	-1.160041	577.198517	0.009575	4.2
16	-1.577037	574.233444	0.010127	4.2
17	-0.104159	571.308645	0.001489	4.2
18	-0.617513	568.423237	0.009090	4.6
19	-0.756950	565.576365	0.010847	4.3
20	-1.196551	562.767201	0.009530	4.5
21	-0.695770	559.994938	0.008341	4.8
22	-0.972723	557.258797	0.011695	4.3
23	-0.000000	554.558018	0.000000	3.9
24	-0.000154	551.891865	0.000025	4.3
25	-1.102597	549.259621	0.009098	4.6
26	-0.407537	546.660592	0.011190	4.4
27	-0.713981	544.094102	0.004764	4.5
28	0.000000	541.559494	0.000000	4.7
29	-0.062901	539.056129	0.001621	4.5
30	-1.553747	536.583387	0.024822	5.2
31	-1.523621	534.140663	0.016376	4.5
32	-0.939223	531.727370	0.018644	4.6
33	-0.463604	529.342935	0.004412	4.5
34	-0.000000	526.986802	0.000000	4.3
35	-0.622899	524.658430	0.023383	4.8
36	-0.022196	522.357290	0.000778	4.7
37	-1.097434	520.082868	0.010870	6.2
38	-0.775721	517.834665	0.009859	7.1
39	-1.125253	515.612193	0.015359	5.4
40	-1.258509	513.414976	0.012413	7.1
41	-1.294149	511.242551	0.013645	5.3
42	-0.827638	509.094468	0.008928	4.7
43	-1.365847	506.970285	0.015168	5.0
44	-1.204871	504.869574	0.017054	5.6
45	-0.000000	502.791916	0.000000	5.2
46	-0.099403	500.736903	0.001405	5.2
47	-0.705873	498.704137	0.006491	5.4
48	-0.000023	496.693228	0.000006	5.1
49	-1.391458	494.703798	0.015921	5.2
50	-0.868124	492.735476	0.008299	5.5
51	-0.000000	490.787900	0.000000	5.3
52	-0.984868	488.860718	0.010188	4.9
53	-0.851569	486.953585	0.012952	5.2
54	-1.268850	485.066164	0.015859	5.0
55	-0.019310	483.198126	0.001486	5.1
56	-1.678644	481.349149	0.010673	4.9
57	-1.294580	479.518920	0.009863	4.8
58	-0.172281	477.707132	0.001066	4.9
59	-0.836339	475.913485	0.006748	5.0
60	-0.064433	474.137684	0.001483	4.7
61	-1.092635	472.379445	0.014401	4.8
62	-0.167782	470.638485	0.003407	5.0
63	-1.652938	468.914531	0.012356	4.8
64	-1.109269	467.207315	0.011682	5.0
65	-0.000000	465.516573	0.000000	5.0
66	-1.552734	463.842050	0.012110	4.8
67	-0.965817	462.183494	0.010535	5.1
68	-0.652001	460.540658	0.006153	4.9
69	-1.270881	458.913303	0.013191	4.9
70	-0.681232	457.301192	0.007819	5.1
71	-0.790391	455.704096	0.009210	4.9
72	-1.291054	454.121787	0.019976	5.4
73	-0.984191	452.554045	0.013498	5.0
74	-0.310849	451.000653	0.003057	4.9
75	-1.201500	449.461399	0.010491	5.1
76	-1.238722	447.936075	0.010998	5.0
77	-0.566814	446.424477	0.014207	5.1
