1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
143	-1.044091	369.458876	0.025025	4.9
144	-1.340878	368.553338	0.006376	4.8
145	-0.000776	367.653696	0.000163	5.2
146	-1.230432	366.759885	0.012225	4.6
147	-0.001198	365.871846	0.000205	4.5
148	-0.017772	364.989518	0.001286	4.7
149	-1.254454	364.112841	0.005415	5.4
150	-1.522308	363.241757	0.018281	5.0
151	-0.716169	362.376208	0.006070	4.9
152	-1.280940	361.516137	0.010077	4.6
153	-0.000000	360.661488	0.000000	5.1
154	-0.618455	359.812206	0.008047	4.8
155	-0.012413	358.968236	0.000540	4.4
156	-0.971751	358.129524	0.012539	5.0
157	-0.638846	357.296018	0.005534	4.9
158	-0.000000	356.467665	0.000000	4.6
159	-1.516079	355.644414	0.014077	4.1
160	-1.104780	354.826213	0.011035	5.3
161	-1.194307	354.013012	0.013349	5.4
162	-0.449192	353.204763	0.009108	4.9
163	-0.223131	352.401415	0.007019	4.3
164	-0.565493	351.602922	0.007786	4.6
165	-0.135153	350.809235	0.002910	5.0
166	-1.462298	350.020308	0.007558	4.4
167	-0.682284	349.236095	0.010982	4.5
168	-0.000000	348.456550	0.000000	4.1
169	-0.199000	347.681627	0.004992	4.4
170	-1.378088	346.911283	0.004976	5.0
171	-0.000000	346.145474	0.000000	4.6
172	-1.435818	345.384157	0.032947	4.8
173	-0.499076	344.627288	0.005770	4.7
174	-1.115594	343.874826	0.017701	4.5
175	-1.404313	343.126729	0.008196	4.1
176	-0.000004	342.382957	0.000001	3.7
177	-0.527290	341.643469	0.006486	4.3
178	-1.281721	340.908224	0.016706	3.9
179	-0.466815	340.177184	0.002849	4.4
180	-1.008325	339.450309	0.011256	4.4
181	-1.581583	338.727561	0.005524	4.2
182	-0.714730	338.008902	0.008300	4.0
183	-0.006395	337.294295	0.000531	4.2
184	-0.917832	336.583703	0.011076	4.4
185	-0.270914	335.877089	0.005285	4.4
186	-0.370295	335.174416	0.004154	4.2
187	-1.250788	334.475651	0.009049	4.7
188	-0.000000	333.780756	0.000000	4.3
189	-1.202071	333.089698	0.008830	4.6
190	-1.173919	332.402443	0.014820	4.1
191	-1.119419	331.718955	0.006607	4.1
192	-0.000025	331.039203	0.000005	4.4
193	-0.655040	330.363153	0.007195	4.2
194	-1.331838	329.690771	0.008425	4.6
195	-0.776981	329.022027	0.005929	4.4
196	-0.062133	328.356888	0.001850	4.3
197	-0.008220	327.695322	0.000625	4.3
198	-0.083674	327.037299	0.004188	3.8
199	-1.067245	326.382787	0.008227	4.6
200	-0.943115	325.731758	0.007211	4.1
201	-0.476957	325.084179	0.004635	4.3
202	-0.880252	324.440023	0.011245	4.8
203	-0.140565	323.799258	0.004253	3.7
204	-0.875960	323.161858	0.010900	4.1
205	-0.941660	322.527792	0.011607	4.6
206	-0.002951	321.897034	0.000443	4.2
207	-0.000000	321.269554	0.000000	4.2
208	-0.002056	320.645325	0.000297	3.2
209	-0.950606	320.024320	0.007759	5.3
210	-0.203543	319.406512	0.003511	4.1
211	-1.443829	318.791875	0.012879	4.1
212	-1.174999	318.180381	0.010171	4.5
213	-1.287872	317.572005	0.006269	3.2
214	-0.300328	316.966721	0.004920	3.5
215	-1.456128	316.364504	0.011687	4.1
216	-0.388808	315.765329	0.002517	4.5
217	-0.000000	315.169170	0.000000	4.3
218	-0.000000	314.576003	0.000000	4.2
219	-1.363128	313.985804	0.008429	4.2
220	-1.140943	313.398548	0.011977	4.7
221	-1.491872	312.814213	0.006137	4.2
222	-0.009299	312.232773	0.000614	4.0
223	-0.000158	311.654207	0.000029	4.4
224	-1.379454	311.078491	0.005402	4.6
225	-0.008179	310.505602	0.001014	4.0
226	-0.000010	309.935518	0.000002	3.9
227	-1.420980	309.368217	0.007726	4.7
228	-0.715300	308.803676	0.009043	4.1
229	-1.431137	308.241874	0.017767	4.1
230	-0.329370	307.682789	0.003774	4.5
231	-1.180101	307.126400	0.014241	4.6
232	-0.296509	306.572687	0.004545	4.1
233	-1.005920	306.021627	0.008365	4.7
234	-0.704554	305.473201	0.004736	3.9
235	-0.552270	304.927388	0.003912	4.4
236	-0.627557	304.384168	0.012182	4.5
237	-0.000000	303.843521	0.000000	4.9
238	-0.000000	303.305427	0.000000	4.4
239	-0.181749	302.769867	0.002356	4.2
240	-0.858598	302.236821	0.015585	4.0
241	-0.012957	301.706270	0.001094	4.0
242	-1.285560	301.178196	0.008830	4.2
243	-0.649601	300.652580	0.007817	4.5
244	-1.135712	300.129402	0.012477	4.1
245	-0.505793	299.608645	0.007462	4.5
246	-0.676877	299.090291	0.008878	4.7
247	-0.810983	298.574321	0.007017	4.2
248	-1.315533	298.060718	0.014335	4.5
249	-0.783173	297.549465	0.007899	5.0
250	-0.068789	297.040543	0.004272	4.2
251	-0.273936	296.533936	0.004051	4.9
252	-0.774361	296.029626	0.006035	5.0
253	-0.527066	295.527597	0.013417	4.6
254	-0.869548	295.027832	0.010480	4.5
255	-0.000004	294.530315	0.000001	5.3
256	-1.470690	294.035028	0.007852	4.7
257	-0.199255	293.541956	0.003516	4.8
258	-0.047162	293.051083	0.001897	5.1
259	-0.940421	292.562393	0.006171	4.6
260	-0.000000	292.075870	0.000000	3.9
261	-1.228851	291.591498	0.006266	4.2
262	-1.049687	291.109263	0.019951	5.0
263	-0.605215	290.629149	0.009999	4.3
264	-1.249460	290.151140	0.007670	5.0
265	-1.070607	289.675222	0.007951	5.4
266	-0.984414	289.201380	0.009881	5.2
267	-0.030916	288.729600	0.001401	4.8
268	-0.880486	288.259866	0.009375	5.8
269	-0.651448	287.792165	0.008493	4.6
270	-0.592483	287.326481	0.010253	4.8
271	-0.524585	286.862802	0.003216	5.6
272	-0.341410	286.401113	0.004374	5.4
273	-0.399728	285.941400	0.012364	5.4
274	-0.984991	285.483649	0.011998	5.0
275	-0.814823	285.027847	0.006124	5.3
276	-0.146500	284.573981	0.003053	5.0
277	-0.252428	284.122037	0.015067	4.3
278	-1.121529	283.672002	0.006705	4.7
279	-0.614872	283.223863	0.005101	4.0
280	-1.351374	282.777607	0.014913	4.2
281	-0.039457	282.333221	0.001329	4.7
282	-0.004489	281.890692	0.000295	4.7
283	-1.231434	281.450008	0.008386	5.7
284	-1.437685	281.011157	0.012886	5.9
285	-1.321741	280.574125	0.012250	4.8
286	-0.669216	280.138901	0.012053	5.9
287	-0.000197	279.705473	0.000040	4.1
288	-0.699821	279.273829	0.019580	6.3
