1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
0	-0.102150	627.201626	0.002407	778.8
1	-1.025703	623.504937	0.014502	4.7
2	-0.000000	619.865785	0.000000	4.8
3	-0.581021	616.282728	0.015259	5.8
4	-0.000000	612.754375	0.000000	5.6
5	-0.022465	609.279381	0.001157	5.0
6	-0.802565	605.856447	0.008536	5.2
7	-0.723526	602.484317	0.018975	5.7
8	-0.274062	599.161779	0.002939	8.7
9	-0.000000	595.887656	0.000000	4.7
10	-0.531401	592.660813	0.008860	6.2
11	-0.002026	589.480151	0.000652	6.8
12	-0.859070	586.344606	0.009780	6.4
13	-0.771686	583.253145	0.006307	7.3
14	-0.578049	580.204771	0.005171	5.7
15	-0.000000	577.198517	0.000000	6.4
16	-0.703188	574.233444	0.024092	6.0
17	-0.607156	571.308645	0.011718	5.8
18	-0.000000	568.423237	0.000000	7.2
19	-0.456168	565.576365	0.010628	6.5
20	-0.034118	562.767201	0.002366	6.1
21	-0.003948	559.994938	0.000586	6.0
22	-0.874051	557.258797	0.026079	6.0
23	-1.032584	554.558018	0.009733	6.7
24	-0.764341	551.891865	0.008670	5.7
25	-0.889305	549.259621	0.013092	7.0
26	-0.607081	546.660592	0.007758	7.0
27	-0.821806	544.094102	0.009222	6.4
28	-0.033971	541.559494	0.001871	5.2
29	-0.001320	539.056129	0.000249	6.4
30	-0.890146	536.583387	0.015978	6.0
31	-0.476118	534.140663	0.012874	6.6
32	-0.250284	531.727370	0.003281	7.1
33	-0.950626	529.342935	0.024457	6.3
34	-0.990348	526.986802	0.013505	6.2
35	-1.143131	524.658430	0.010731	5.6
36	-0.581791	522.357290	0.017243	6.0
37	-0.574262	520.082868	0.024372	5.8
38	-0.775588	517.834665	0.015276	5.9
39	-0.000000	515.612193	0.000000	5.7
40	-0.815816	513.414976	0.016735	5.6
41	-0.774499	511.242551	0.009769	5.2
42	-1.001980	509.094468	0.025431	6.0
43	-0.808540	506.970285	0.019124	6.1
44	-0.128727	504.869574	0.001490	5.6
45	-0.925832	502.791916	0.009109	5.6
46	-0.066260	500.736903	0.002510	5.4
47	-0.764610	498.704137	0.013035	5.6
48	-0.633133	496.693228	0.007847	5.7
49	-0.604178	494.703798	0.005204	5.4
50	-0.000000	492.735476	0.000000	5.6
51	-0.821249	490.787900	0.007478	7.1
52	-0.646021	488.860718	0.011850	5.8
53	-1.010309	486.953585	0.006828	5.6
54	-0.534417	485.066164	0.007610	5.5
55	-0.533091	483.198126	0.013088	5.7
56	-0.521066	481.349149	0.010283	6.1
57	-0.772883	479.518920	0.011389	5.2
58	-0.313270	477.707132	0.008906	5.8
59	-0.853509	475.913485	0.004901	6.2
60	-0.000077	474.137684	0.000036	6.5
61	-1.000193	472.379445	0.012799	6.2
62	-0.000000	470.638485	0.000000	5.5
63	-0.948845	468.914531	0.007247	5.8
64	-1.012843	467.207315	0.023481	6.1
65	-0.496444	465.516573	0.007951	5.6
66	-0.000000	463.842050	0.000000	5.6
67	-0.461894	462.183494	0.009541	6.0
68	-1.103506	460.540658	0.022809	6.7
69	-0.000024	458.913303	0.000008	5.5
70	-1.035241	457.301192	0.025157	6.1
71	-0.743955	455.704096	0.007883	9.2
72	-0.853711	454.121787	0.015472	6.0
73	-0.000006	452.554045	0.000004	5.2
74	-0.000000	451.000653	0.000000	6.0
75	-0.952359	449.461399	0.010886	5.5
76	-0.000000	447.936075	0.000000	5.2
77	-0.441652	446.424477	0.008217	6.4
78	-0.000000	444.926406	0.000000	4.8
79	-0.258777	443.441666	0.008465	5.6
80	-0.879718	441.970065	0.012589	5.5
